target,gene,outdeg_Rest,onsig_Rest,outdeg_Stim8hr,onsig_Stim8hr,outdeg_Stim48hr,onsig_Stim48hr
ENSG00000000003,TSPAN6,0.0,False,0.0,False,1.0,False
ENSG00000000419,DPM1,228.0,True,264.0,True,5.0,True
ENSG00000000457,SCYL3,219.0,True,540.0,True,881.0,True
ENSG00000000460,FIRRM,4.0,True,11.0,True,10.0,True
ENSG00000000938,FGR,0.0,False,0.0,False,0.0,False
ENSG00000000971,CFH,2.0,False,1.0,False,1.0,False
ENSG00000001036,FUCA2,0.0,True,3.0,True,0.0,True
ENSG00000001084,GCLC,4.0,True,25.0,True,4.0,False
ENSG00000001460,STPG1,2.0,False,1.0,False,3.0,True
ENSG00000001461,NIPAL3,1.0,True,2.0,True,3.0,True
ENSG00000001561,ENPP4,1.0,True,2.0,True,1.0,True
ENSG00000001630,CYP51A1,0.0,True,8.0,True,1.0,True
ENSG00000001631,KRIT1,30.0,False,2.0,True,18.0,True
ENSG00000002016,RAD52,0.0,False,0.0,True,0.0,True
ENSG00000002330,BAD,3.0,True,2.0,True,2.0,True
ENSG00000002549,LAP3,4.0,True,2.0,True,4.0,True
ENSG00000002586,CD99,0.0,True,7.0,True,10.0,True
ENSG00000002745,WNT16,0.0,False,0.0,False,0.0,False
ENSG00000002746,HECW1,0.0,False,0.0,False,0.0,False
ENSG00000002834,LASP1,1.0,True,0.0,True,1.0,True
ENSG00000002919,SNX11,1.0,True,1.0,True,2.0,True
ENSG00000003056,M6PR,1.0,True,2.0,True,2.0,True
ENSG00000003147,ICA1,1.0,False,0.0,False,0.0,False
ENSG00000003249,DBNDD1,0.0,False,3.0,False,0.0,False
ENSG00000003393,ALS2,101.0,True,5.0,True,0.0,True
ENSG00000003400,CASP10,2.0,True,1.0,True,0.0,True
ENSG00000003436,TFPI,0.0,False,2.0,False,0.0,False
ENSG00000003756,RBM5,28.0,True,167.0,True,306.0,True
ENSG00000003987,MTMR7,0.0,False,0.0,False,1.0,False
ENSG00000004059,ARF5,2.0,True,1.0,True,1.0,True
ENSG00000004139,SARM1,2.0,False,4.0,True,1.0,False
ENSG00000004142,POLDIP2,15.0,True,26.0,True,34.0,True
