gene_id,gene_name,nreg_total,resid_total,baseMean,shet,ess_hart,ess_cegv2,druggable
ENSG00000000419,DPM1,309,-27.858399463490244,145.80383858136517,0.01727972,False,False,False
ENSG00000000457,SCYL3,137,-38.75885936925611,22.8928541871001,0.02650958,False,False,True
ENSG00000000460,C1orf112,259,14.896595409467892,57.67552361816435,0.00160927,False,False,False
ENSG00000000971,CFH,128,76.45306867357527,0.8163676268024189,0.04141488,False,False,False
ENSG00000001036,FUCA2,178,25.282271266885644,15.515315695117636,0.00090154,False,False,False
ENSG00000001084,GCLC,169,-45.58271202344403,41.33590538754954,0.05208024,False,False,False
ENSG00000001460,STPG1,69,-37.93998279337464,5.767350929450706,0.00043601,False,False,False
ENSG00000001461,NIPAL3,202,-9.046601613559602,39.34311660626358,0.01063301,False,False,True
ENSG00000001561,ENPP4,163,15.680076105316687,13.874385257872826,0.02011596,False,False,False
ENSG00000001629,ANKIB1,64,-125.00581713018337,28.270483770449,0.13911552,False,False,False
ENSG00000001630,CYP51A1,552,248.7087694859548,113.88717623920436,0.00455497,False,False,False
ENSG00000001631,KRIT1,136,-125.95964402757802,71.21676414063768,0.04409453,False,False,False
ENSG00000002016,RAD52,52,-57.1235855014281,5.901652578546379,0.0036149,False,False,False
ENSG00000002330,BAD,133,-9.203220482716866,12.852231023006118,0.00263373,False,False,False
ENSG00000002549,LAP3,233,-17.691146894127996,62.84097696548232,0.00433538,False,False,False
ENSG00000002586,CD99,391,49.793568288774466,152.09531660286595,0.00544635,False,False,False
ENSG00000002587,HS3ST1,80,25.039291184798046,0.9561907791779461,0.02328602,False,False,False
ENSG00000002822,MAD1L1,292,87.95564898552664,38.42292778861715,0.00268128,False,False,False
ENSG00000002834,LASP1,331,70.2660175578705,70.15940508159011,0.22687926,False,False,False
ENSG00000002919,SNX11,96,-53.68709773256418,14.61298500078624,0.00364936,False,False,False
ENSG00000003056,M6PR,341,8.88325800413304,150.46519486247507,0.03424717,False,False,False
ENSG00000003096,KLHL13,6,-32.488108531071674,0.2926910663279211,0.05958148,False,False,False
ENSG00000003147,ICA1,118,33.98345857102993,2.7867458649015817,0.03507832,False,False,False
ENSG00000003393,ALS2,127,-22.618013509529483,14.574389831147084,0.02847873,False,False,False
ENSG00000003400,CASP10,270,73.36022363042147,33.939781978659624,0.00024308,False,False,False
ENSG00000003509,NDUFAF7,91,-95.01707786065887,27.016053897366724,0.00114242,False,False,False
ENSG00000003756,RBM5,253,22.112914199077636,49.53472943371587,0.50680939,False,False,False
ENSG00000004059,ARF5,120,-78.36954041289275,32.20980902368479,0.29975787,False,False,False
ENSG00000004139,SARM1,112,-52.062620268754486,20.06396768165583,0.00315055,False,False,False
ENSG00000004142,POLDIP2,344,12.228298760550757,144.27934977414697,0.02287606,False,False,False
ENSG00000004399,PLXND1,55,1.256795342024727,0.7627561330847759,0.15173388,False,False,False
ENSG00000004468,CD38,460,227.86356438819317,55.634191193092306,0.00094964,False,False,False
ENSG00000004478,FKBP4,300,85.79148685377527,44.91024620650212,0.04876948,False,False,False
ENSG00000004487,KDM1A,221,-55.564102817737165,84.93438983130996,0.12355633,False,False,False
ENSG00000004534,RBM6,199,-68.35467558597925,74.87695542580825,0.24672924,False,False,False
ENSG00000004660,CAMKK1,63,-22.473579193223394,3.0352033610344877,0.04254852,False,False,False
ENSG00000004700,RECQL,321,-36.91733700075417,169.16275718925712,0.00059248,False,False,False
ENSG00000004766,VPS50,109,-53.34833781528308,18.420544928346114,0.05796102,False,False,False
ENSG00000004777,ARHGAP33,103,7.9926898693238755,4.957680870644299,0.0708954,False,False,False
ENSG00000004779,NDUFAB1,387,8.643893303260612,205.81315963104865,0.03885582,False,False,False
ENSG00000004864,SLC25A13,130,-6.661934777579191,11.835756114913499,0.00305158,False,False,True
ENSG00000004866,ST7,170,15.00216342851477,17.19082539241915,0.08565552,False,False,False
ENSG00000004897,CDC27,193,-81.71262231143884,80.42363447856272,0.18347851,False,True,False
ENSG00000004961,HCCS,100,-92.49838845645687,30.56434200359284,0.1699714,False,False,False
ENSG00000004975,DVL2,93,-70.42558907701809,19.220908645165107,0.02836167,False,False,False
ENSG00000005020,SKAP2,117,7.964758445618205,6.824816438906208,0.02438391,False,False,False
ENSG00000005022,SLC25A5,263,7.562605269977112,66.12327166865316,0.55893479,False,False,True
ENSG00000005059,MCUB,295,24.205332570239804,81.35634727013968,0.00094806,False,False,False
ENSG00000005156,LIG3,84,-84.71333089273108,21.777106067659766,0.01672053,False,False,False
ENSG00000005175,RPAP3,182,-82.06159255205421,74.7434214871658,0.0168584,False,False,False
ENSG00000005187,ACSM3,42,-19.33901108584018,1.5066407334199128,0.00021107,False,False,False
ENSG00000005189,REXO5,132,28.420242176987184,6.141174085677079,0.00200427,False,False,False
ENSG00000005206,SPPL2B,122,-49.31640731123993,21.26871632778754,,False,False,False
ENSG00000005238,ATOSB,119,20.906186400225963,5.080298933459312,0.15279095,False,False,False
ENSG00000005249,PRKAR2B,64,9.19727329114885,0.7910500886672392,0.16954733,False,False,False
ENSG00000005302,MSL3,25,-62.09601764572801,3.047312591365155,0.36905016,False,False,False
ENSG00000005339,CREBBP,187,-50.84524765106511,55.24340788370472,0.74349792,False,False,False
ENSG00000005379,TSPOAP1,482,314.51168026366287,20.13724504789417,0.04200246,False,False,False
ENSG00000005436,GCFC2,148,-46.86683544799134,32.49160237109066,0.00111514,False,False,False
ENSG00000005448,WDR54,251,28.64243903036906,54.311536114853844,0.00302452,False,False,False
ENSG00000005469,CROT,109,-18.677063400932425,9.696428773746636,0.00031098,False,False,False
ENSG00000005483,KMT2E,494,199.67970484429082,97.37267504538269,0.48329357,False,False,False
