gene_id,gene_name,n_regulators,resid_responsiveness,my_gene_response,essential_hart,shet
ENSG00000000419,DPM1,309.0,-27.858399463490244,206.0,False,0.01727972
ENSG00000000457,SCYL3,137.0,-38.75885936925611,89.0,False,0.02650958
ENSG00000000460,C1orf112,259.0,14.896595409467892,158.0,False,0.00160927
ENSG00000000971,CFH,128.0,76.45306867357527,77.0,False,0.04141488
ENSG00000001036,FUCA2,178.0,25.282271266885644,117.0,False,0.00090154
ENSG00000001084,GCLC,169.0,-45.58271202344403,111.0,False,0.05208024
ENSG00000001460,STPG1,69.0,-37.93998279337464,42.0,False,0.00043601
ENSG00000001461,NIPAL3,202.0,-9.046601613559602,120.0,False,0.01063301
ENSG00000001561,ENPP4,163.0,15.680076105316687,116.0,False,0.02011596
ENSG00000001629,ANKIB1,64.0,-125.00581713018337,43.0,False,0.13911552
ENSG00000001630,CYP51A1,552.0,248.7087694859548,361.0,False,0.00455497
ENSG00000001631,KRIT1,136.0,-125.95964402757802,82.0,False,0.04409453
ENSG00000002016,RAD52,52.0,-57.1235855014281,35.0,False,0.0036149
ENSG00000002330,BAD,133.0,-9.203220482716866,81.0,False,0.00263373
ENSG00000002549,LAP3,233.0,-17.691146894127996,141.0,False,0.00433538
ENSG00000002586,CD99,391.0,49.793568288774466,247.0,False,0.00544635
ENSG00000002587,HS3ST1,80.0,25.039291184798046,61.0,False,0.02328602
ENSG00000002822,MAD1L1,292.0,87.95564898552664,183.0,False,0.00268128
ENSG00000002834,LASP1,331.0,70.2660175578705,220.0,False,0.22687926
ENSG00000002919,SNX11,96.0,-53.68709773256418,64.0,False,0.00364936
ENSG00000003056,M6PR,341.0,8.88325800413304,209.0,False,0.03424717
ENSG00000003096,KLHL13,6.0,-32.488108531071674,7.0,False,0.05958148
ENSG00000003147,ICA1,118.0,33.98345857102993,76.0,False,0.03507832
ENSG00000003393,ALS2,127.0,-22.618013509529483,83.0,False,0.02847873
ENSG00000003400,CASP10,270.0,73.36022363042147,164.0,False,0.00024308
ENSG00000003509,NDUFAF7,91.0,-95.01707786065887,59.0,False,0.00114242
ENSG00000003756,RBM5,253.0,22.112914199077636,163.0,False,0.50680939
ENSG00000004059,ARF5,120.0,-78.36954041289275,76.0,False,0.29975787
ENSG00000004139,SARM1,112.0,-52.062620268754486,72.0,False,0.00315055
ENSG00000004142,POLDIP2,344.0,12.228298760550757,213.0,False,0.02287606
ENSG00000004399,PLXND1,55.0,1.256795342024727,44.0,False,0.15173388
ENSG00000004468,CD38,460.0,227.86356438819317,300.0,False,0.00094964
ENSG00000004478,FKBP4,300.0,85.79148685377527,196.0,False,0.04876948
ENSG00000004487,KDM1A,221.0,-55.564102817737165,147.0,False,0.12355633
ENSG00000004534,RBM6,199.0,-68.35467558597925,125.0,False,0.24672924
ENSG00000004660,CAMKK1,63.0,-22.473579193223394,42.0,False,0.04254852
ENSG00000004700,RECQL,321.0,-36.91733700075417,214.0,False,0.00059248
ENSG00000004766,VPS50,109.0,-53.34833781528308,63.0,False,0.05796102
ENSG00000004777,ARHGAP33,103.0,7.9926898693238755,58.0,False,0.0708954
ENSG00000004779,NDUFAB1,387.0,8.643893303260612,243.0,False,0.03885582
ENSG00000004864,SLC25A13,130.0,-6.661934777579191,82.0,False,0.00305158
ENSG00000004866,ST7,170.0,15.00216342851477,112.0,False,0.08565552
ENSG00000004897,CDC27,193.0,-81.71262231143884,116.0,False,0.18347851
ENSG00000004961,HCCS,100.0,-92.49838845645687,65.0,False,0.1699714
ENSG00000004975,DVL2,93.0,-70.42558907701809,60.0,False,0.02836167
ENSG00000005020,SKAP2,117.0,7.964758445618205,81.0,False,0.02438391
ENSG00000005022,SLC25A5,263.0,7.562605269977112,180.0,False,0.55893479
ENSG00000005059,MCUB,295.0,24.205332570239804,195.0,False,0.00094806
ENSG00000005156,LIG3,84.0,-84.71333089273108,52.0,False,0.01672053
ENSG00000005175,RPAP3,182.0,-82.06159255205421,123.0,False,0.0168584
ENSG00000005187,ACSM3,42.0,-19.33901108584018,31.0,False,0.00021107
ENSG00000005189,REXO5,132.0,28.420242176987184,82.0,False,0.00200427
ENSG00000005206,SPPL2B,122.0,-49.31640731123993,76.0,False,
ENSG00000005238,ATOSB,119.0,20.906186400225963,68.0,False,0.15279095
ENSG00000005249,PRKAR2B,64.0,9.19727329114885,46.0,False,0.16954733
ENSG00000005302,MSL3,25.0,-62.09601764572801,15.0,False,0.36905016
ENSG00000005339,CREBBP,187.0,-50.84524765106511,127.0,False,0.74349792
ENSG00000005379,TSPOAP1,482.0,314.51168026366287,305.0,False,0.04200246
ENSG00000005436,GCFC2,148.0,-46.86683544799134,107.0,False,0.00111514
ENSG00000005448,WDR54,251.0,28.64243903036906,156.0,False,0.00302452
