source,target,interaction,state_Rest,state_Stim8hr,state_Stim48hr,n_states,states,gained_on_activation
ACLY,CARMIL2,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ACLY,CD3D,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ACLY,CD3G,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ACLY,ELAVL1,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ACLY,EWSR1,regulates,False,True,False,1,Stim8hr,False
ACLY,IL12RB2,regulates,False,True,False,1,Stim8hr,False
ACLY,LAMTOR2,regulates,False,True,False,1,Stim8hr,False
ACLY,LCK,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ACLY,LCP2,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ACLY,MTG1,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ACLY,NCKAP1L,regulates,False,True,False,1,Stim8hr,False
ACLY,SGF29,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ACLY,SMARCB1,regulates,False,True,False,1,Stim8hr,False
ACLY,ZMYM2,regulates,False,True,False,1,Stim8hr,False
ACLY,AHR,regulates,False,False,True,1,Stim48hr,True
ACLY,BRD8,regulates,False,False,True,1,Stim48hr,True
ACLY,CCNC,regulates,False,False,True,1,Stim48hr,True
ACLY,CD3E,regulates,False,False,True,1,Stim48hr,True
ACLY,GRSF1,regulates,False,False,True,1,Stim48hr,True
ACLY,INTS10,regulates,False,False,True,1,Stim48hr,True
ACLY,ITK,regulates,False,False,True,1,Stim48hr,True
ACLY,KDM1A,regulates,False,False,True,1,Stim48hr,True
ACLY,NDUFAF3,regulates,False,False,True,1,Stim48hr,True
ACLY,PLCG1,regulates,False,False,True,1,Stim48hr,True
ACLY,PTEN,regulates,False,False,True,1,Stim48hr,True
ACLY,PTPRC,regulates,False,False,True,1,Stim48hr,True
ACLY,SENP5,regulates,False,False,True,1,Stim48hr,True
ACLY,SUPT7L,regulates,False,False,True,1,Stim48hr,True
ACLY,TADA2B,regulates,False,False,True,1,Stim48hr,True
ACLY,VAV1,regulates,False,False,True,1,Stim48hr,True
ACLY,ZAP70,regulates,False,False,True,1,Stim48hr,True
AHR,ACLY,regulates,True,False,False,1,Rest,False
AHR,ARNT,regulates,True,False,False,1,Rest,False
AHR,ATP2A2,regulates,True,False,True,2,Rest;Stim48hr,False
AHR,CD3E,regulates,True,False,False,1,Rest,False
AHR,DENR,regulates,True,False,False,1,Rest,False
AHR,DOP1B,regulates,True,True,True,3,Rest;Stim8hr;Stim48hr,False
AHR,EIF4G2,regulates,True,False,False,1,Rest,False
AHR,ELAVL1,regulates,True,False,False,1,Rest,False
AHR,LAMTOR2,regulates,True,True,False,2,Rest;Stim8hr,False
AHR,LCK,regulates,True,True,True,3,Rest;Stim8hr;Stim48hr,False
AHR,LCP2,regulates,True,False,False,1,Rest,False
AHR,LRPPRC,regulates,True,False,False,1,Rest,False
AHR,MED15,regulates,True,False,False,1,Rest,False
AHR,NPC2,regulates,True,False,True,2,Rest;Stim48hr,False
AHR,SMARCA5,regulates,True,False,False,1,Rest,False
AHR,TADA2B,regulates,True,False,False,1,Rest,False
AHR,TFAM,regulates,True,False,True,2,Rest;Stim48hr,False
AHR,UBXN1,regulates,True,False,False,1,Rest,False
AHR,VAV1,regulates,True,False,False,1,Rest,False
AHR,CARMIL2,regulates,False,True,False,1,Stim8hr,False
AHR,IL12RB2,regulates,False,True,True,2,Stim8hr;Stim48hr,True
AHR,NCKAP1L,regulates,False,True,True,2,Stim8hr;Stim48hr,True
AHR,SMARCE1,regulates,False,True,False,1,Stim8hr,False
AHR,TAF13,regulates,False,True,False,1,Stim8hr,False
AHR,CCNC,regulates,False,False,True,1,Stim48hr,True
AHR,DHX36,regulates,False,False,True,1,Stim48hr,True
AHR,LEO1,regulates,False,False,True,1,Stim48hr,True
AHR,MED12,regulates,False,False,True,1,Stim48hr,True
AHR,PMVK,regulates,False,False,True,1,Stim48hr,True
AHR,SKIC8,regulates,False,False,True,1,Stim48hr,True
AHR,ZMYM2,regulates,False,False,True,1,Stim48hr,True
ARNT,ACLY,regulates,True,False,False,1,Rest,False
ARNT,ATP2A2,regulates,True,False,False,1,Rest,False
ARNT,BCAT2,regulates,True,True,True,3,Rest;Stim8hr;Stim48hr,False
ARNT,DOP1B,regulates,True,True,False,2,Rest;Stim8hr,False
ARNT,ELAVL1,regulates,True,False,False,1,Rest,False
ARNT,LAMTOR2,regulates,True,False,False,1,Rest,False
ARNT,LCK,regulates,True,True,True,3,Rest;Stim8hr;Stim48hr,False
ARNT,MED15,regulates,True,False,True,2,Rest;Stim48hr,False
ARNT,NCKAP1L,regulates,True,True,True,3,Rest;Stim8hr;Stim48hr,False
ARNT,NCOR1,regulates,True,False,True,2,Rest;Stim48hr,False
ARNT,NFRKB,regulates,True,False,False,1,Rest,False
ARNT,NPC2,regulates,True,False,True,2,Rest;Stim48hr,False
ARNT,RPRD2,regulates,True,False,False,1,Rest,False
ARNT,SETDB1,regulates,True,False,False,1,Rest,False
ARNT,SGF29,regulates,True,False,True,2,Rest;Stim48hr,False
ARNT,TADA2B,regulates,True,False,False,1,Rest,False
ARNT,UBXN1,regulates,True,False,True,2,Rest;Stim48hr,False
ARNT,VAV1,regulates,True,False,True,2,Rest;Stim48hr,False
ARNT,CARMIL2,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ARNT,CPSF6,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ARNT,GRSF1,regulates,False,True,False,1,Stim8hr,False
ARNT,INTS10,regulates,False,True,False,1,Stim8hr,False
ARNT,KDM1A,regulates,False,True,False,1,Stim8hr,False
ARNT,MIPEP,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ARNT,NUDCD1,regulates,False,True,False,1,Stim8hr,False
ARNT,PMVK,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ARNT,PTPRC,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ARNT,SMARCE1,regulates,False,True,False,1,Stim8hr,False
ARNT,SUPT7L,regulates,False,True,False,1,Stim8hr,False
ARNT,TAF13,regulates,False,True,True,2,Stim8hr;Stim48hr,True
ARNT,ATAD5,regulates,False,False,True,1,Stim48hr,True
ARNT,BCL10,regulates,False,False,True,1,Stim48hr,True
ARNT,CCNC,regulates,False,False,True,1,Stim48hr,True
ARNT,CD247,regulates,False,False,True,1,Stim48hr,True
ARNT,CD3E,regulates,False,False,True,1,Stim48hr,True
ARNT,CREBBP,regulates,False,False,True,1,Stim48hr,True
